,Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
56,PA,PA_B,PA.B_TSB_B,191043,113006,0,531903,512688,1026786,0,0,0,0,0,236598,0,0,0,492060,64027,2282603,0,7584736,0,182915,0,24462435,114948,88116,71410,99820,0,0,172688,125798,524913,0,1297487,383895,621874,55187,0,0,0,1447782,81423,0,0,0,3287479,0,0,0,0,0,0,0,1937240,0,0,0,0,0,0,0,0,0,0,0,0
57,PA,PA_B,PA.B_TSB_C,0,100112,0,219493,0,0,0,109543,173727,0,0,164078,0,0,0,0,76978,585679,0,12179961,629727,0,0,10710622,87884,116106,83352,0,0,0,0,98575,727805,0,1136661,154214,278470,54359,0,0,0,1031358,0,0,0,0,260136,0,0,0,0,0,0,0,1087800,0,0,0,0,0,0,0,0,0,0,0,0
58,EC,EC_A,EC.A_BHI_A,1335746,10739591,127719,3891622,664734,0,353713,0,138071,0,0,154284,0,149124,105966,636845,173087,0,0,0,5985957,408380,0,12137381,0,204993,715127,0,203554,186787,0,0,308038,5449509,0,0,0,145400,108830,0,1303753,428336,584398,0,0,51900,0,0,0,1120106,96559,0,0,219638,0,0,0,1087630,0,0,0,0,0,1119579,0,1061325,10282706
59,EC,EC_A,EC.A_BHI_B,1077717,7443452,99116,2439108,522829,0,152483,0,0,0,0,112048,0,113513,86354,392103,110047,0,0,0,3989960,252076,0,7723728,0,92508,415206,0,168148,85904,0,0,383685,2069148,0,0,0,99866,0,0,1124989,623212,324415,0,173839,101263,0,0,0,2260282,303186,68203,0,202598,0,0,0,2533698,0,68658,0,400513,0,979951,0,650859,106378505
60,EC,EC_A,EC.A_BHI_C,893609,6250253,83418,2314358,524002,0,135522,0,82601,0,0,88526,0,95518,67095,275232,76816,0,0,0,3174018,250529,0,6210576,0,108991,407557,0,118337,106202,0,0,394008,3316273,0,0,0,95894,0,0,1238561,712079,328561,0,161042,178266,0,0,0,2407249,446725,123501,0,211215,0,70060,113303,3621289,144229,134147,88404,652645,0,1718402,0,1970524,112700686
61,EC,EC_A,EC.A_BHI_D,809390,7626831,175461,2591269,604543,0,115800,0,69547,0,0,85508,0,103160,0,189839,73358,0,0,0,3017282,348774,0,5653746,0,69789,487632,0,0,121811,0,0,420686,4930272,0,0,0,112262,122108,0,1910713,529364,470932,0,128731,125201,0,0,0,4553996,357832,118849,0,386583,0,91450,111256,5051317,137887,179352,119785,408288,0,2450605,0,4268126,93089962
62,EC,EC_B,EC.B_BHI_A,608402,3717130,0,2973792,0,0,0,0,0,0,0,128022,0,140813,0,139641,60794,0,0,0,3879386,646981,0,8341626,0,0,476972,0,0,63082,0,0,2271616,5518148,0,0,0,77569,0,0,799527,841414,556478,0,0,0,0,0,0,2479369,80690,0,0,218444,0,90264,0,802253,0,0,0,0,0,166612,0,64116,95504755
63,EC,EC_B,EC.B_BHI_B,947309,5157444,0,2507968,0,0,204422,0,89753,0,0,90122,0,116323,105656,0,138306,0,0,0,3355434,351600,0,8328364,0,79016,481816,0,0,0,0,0,1155205,7058046,0,0,0,63099,177595,0,1545013,590411,296451,0,0,164633,0,0,0,5542281,348812,0,0,229405,0,120597,0,3764377,308213,82496,0,57578,0,329919,0,119065,111534573
64,EC,EC_B,EC.B_BHI_C,961495,6648458,0,2460826,552271,0,140271,0,63628,0,0,131277,0,123060,68534,262306,53366,0,0,0,3614046,411137,0,8357066,0,92671,446101,0,0,0,0,0,1082152,6356903,0,0,0,121836,144705,0,1900921,673916,319697,0,344949,261433,0,0,0,7740141,617095,171353,0,257087,0,231601,0,8126177,535396,254789,66340,112673,0,752512,0,301336,43562718
65,EC,EC_A,EC.A_LB_A,155389,1010300,0,3917970,735781,0,528832,0,381024,0,1550481,82608,0,183084,53025,501035,76840,0,0,0,3569454,388765,0,4505387,0,228006,180008,0,0,163793,0,0,106588,800115,0,0,0,274686,172459,0,181784,257232,254013,0,0,0,0,0,70872,98723,302852,0,0,122437,0,62303,0,723882,0,59160,0,0,133915,152145,247622,79080,64083889
66,EC,EC_A,EC.A_LB_B,55674,833894,0,1895126,368391,0,160664,0,158705,0,1682575,62721,0,77576,0,259701,0,0,0,0,2868248,111779,0,2548897,0,0,63669,0,0,66071,0,0,81508,293287,0,0,0,132490,59778,0,299078,235580,235434,0,0,0,0,0,93940,489438,411519,0,0,99484,0,0,0,1293239,0,82803,0,0,201090,286061,303949,112422,76383368
67,EC,EC_A,EC.A_LB_C,206308,1059453,0,199890,457109,0,365507,0,180890,0,1821750,91226,0,146555,0,555535,96188,0,0,0,3954594,169612,0,3497616,0,176833,113874,0,0,118007,0,0,85149,265880,0,0,0,206282,0,0,314410,287789,323796,0,0,0,0,0,103754,410418,519574,0,0,136105,0,96083,0,1683334,0,138988,0,91864,314284,399067,470038,136299,84586604
68,EC,EC_A,EC.A_LB_D,0,1038526,0,0,199127,0,0,0,0,0,1417005,0,0,0,0,56244,0,0,0,0,1674709,64568,118318,2622897,0,0,0,0,0,0,0,0,115864,1458984,0,0,0,0,159338,0,158548,343124,0,0,0,0,0,0,91673,148544,331798,0,0,0,0,0,0,672139,0,91058,0,285335,141209,448711,1389615,1477460,77981995
69,EC,EC_A,EC.A_LB_E,0,746145,0,0,0,0,0,0,0,0,843090,0,0,0,0,53025,0,0,0,0,1112004,71493,0,2269429,0,0,0,0,0,0,0,0,78116,995169,0,0,0,0,194881,0,106502,322616,0,0,0,0,0,0,89486,99315,559861,0,0,0,0,0,0,1719069,0,163012,0,184046,206594,1084828,1869692,1251665,85548553
70,EC,EC_B,EC.B_LB_A,138406,0,0,2601103,413560,0,369097,0,261039,0,0,0,0,137297,0,435021,60756,0,0,0,1599561,291645,0,3384709,0,174979,85978,0,0,83980,0,0,330785,546566,0,0,0,187563,108434,0,90957,284966,255229,0,0,0,0,0,87201,136896,320352,0,0,103548,0,110355,0,639394,73677,60053,0,0,208765,172360,0,0,72853935
71,EC,EC_B,EC.B_LB_B,157208,0,0,2591407,258187,0,333096,0,148155,0,0,68374,0,160630,52938,444798,78297,0,0,0,1513337,244580,0,3232684,0,171949,0,0,0,79508,0,0,436384,357739,0,0,0,182250,119064,0,112115,447419,305231,0,0,0,0,0,159402,303533,835199,0,0,172988,0,194966,0,1323482,299615,213434,0,0,448151,470892,138587,70851,87016160
72,EC,EC_B,EC.B_LB_C,108232,0,0,2278562,414624,0,324672,0,177119,0,133992,58623,0,116084,0,425365,88191,0,0,0,2244762,196334,0,3357368,0,170322,0,0,0,75315,0,0,316796,177944,0,0,0,145681,0,0,189796,281528,241323,0,0,0,0,0,76070,729337,395577,0,0,115781,0,0,0,1198793,146231,94999,0,0,365451,312473,0,0,77512251
73,EC,EC_B,EC.B_LB_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94963,0,1312941,0,0,0,0,0,0,0,0,376463,991493,0,0,0,0,230966,0,0,326330,0,0,0,0,0,0,62131,60950,327139,0,0,0,0,103267,0,581729,52637,117138,0,72630,183803,216519,79475,51688,82768482
74,EC,EC_B,EC.B_LB_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516079,151307,0,1084828,0,0,0,0,0,0,0,0,292752,1043984,0,0,0,0,362007,0,0,331717,0,0,0,0,0,0,0,0,171292,0,0,0,0,0,0,242246,246354,135850,0,67958,107442,156417,0,1940003,61263721
75,EC,EC_A,EC.A_TSB_A,887825,7585417,0,673781,0,0,58040,0,0,0,0,77057,0,79276,0,150443,0,0,0,0,285915,205972,0,4976821,0,0,115357,0,78080,51263,0,0,352856,2351610,0,0,0,127027,0,0,1131862,432151,179033,0,0,0,201877,0,0,0,125461,0,0,185259,0,0,0,1734037,0,0,0,89948,0,851004,0,850885,88277609
76,EC,EC_A,EC.A_TSB_B,670603,7461659,0,592162,0,0,62292,0,0,0,0,52672,0,68747,0,0,125917,0,0,0,274388,185920,0,5003470,0,0,78741,0,80161,56793,0,0,248134,2007913,0,0,0,113605,0,0,1139646,292152,224753,0,0,0,144622,0,0,1341923,125475,0,0,220256,0,0,0,2010208,0,0,0,64680,0,922978,0,1183943,91230943
77,EC,EC_A,EC.A_TSB_C,576884,2372532,0,468142,0,0,0,0,0,0,152410,66285,0,0,0,50584,0,0,0,0,451935,111956,0,2399050,0,0,55845,0,0,0,0,0,156017,641681,0,0,0,67623,0,0,547685,239981,131516,0,0,0,74667,0,0,752118,222277,0,0,134335,0,0,0,2075742,0,0,0,54145,0,593032,0,382201,109912287
78,EC,EC_A,EC.A_TSB_D,636851,5114072,0,559183,0,0,0,0,0,0,171493,0,0,0,0,90291,0,0,0,0,632825,132704,0,3934663,0,0,74957,0,525825,0,0,0,158088,2911844,0,0,0,0,0,0,851829,216947,158388,0,0,0,82691,0,0,1124759,89118,0,0,176598,0,0,0,1582441,0,0,0,0,0,450711,0,390122,89285823
79,EC,EC_A,EC.A_TSB_E,0,7870420,0,1225829,0,0,101495,0,0,0,0,0,0,0,0,0,0,0,0,0,220140,1022779,0,2243423,0,0,0,0,0,0,0,0,75932,125680,0,0,0,0,0,0,508826,152770,342571,0,52208,0,0,0,0,474789,222050,0,0,100430,0,0,0,1758353,0,57182,0,0,0,843660,0,1033300,82182776
80,EC,EC_B,EC.B_TSB_A,119313,1364553,0,169495,0,0,0,0,0,0,0,0,0,0,0,54155,0,0,0,0,934149,151941,0,1928512,0,0,0,0,0,0,0,0,985092,2373104,0,0,0,0,0,0,265324,156741,82607,0,0,0,119773,0,0,410056,0,0,0,76521,0,0,0,289615,0,0,0,0,0,0,0,0,60325589
81,EC,EC_B,EC.B_TSB_B,128397,1451138,0,359499,0,0,0,0,0,0,0,0,0,0,0,54486,0,0,0,0,526119,185916,0,2047003,0,0,0,0,0,0,0,0,617890,2282520,0,0,0,0,0,0,558260,299459,130593,0,0,0,235221,0,0,1118337,67510,0,0,125495,0,52814,0,749942,0,0,0,0,0,78672,0,0,107880324
82,EC,EC_B,EC.B_TSB_C,309004,5650813,0,875905,0,0,109170,0,0,0,310852,0,0,97651,0,180005,62168,0,0,0,809747,352271,0,6497830,0,0,92340,0,52741,58804,0,0,481673,8927089,0,0,0,97887,0,0,464549,362678,136519,0,0,0,360779,0,0,855428,69218,0,0,156776,0,0,0,479315,0,0,0,0,0,84426,0,0,72102392
83,EC,EC_B,EC.B_TSB_D,548442,3588158,0,637563,0,0,60834,0,0,0,483269,0,0,77088,0,114343,0,0,0,0,705595,244700,0,4141334,0,0,68147,0,85445,0,0,0,610883,6388137,0,0,0,80664,0,0,1201031,303087,162366,0,0,0,253951,0,0,2405144,169862,0,0,165001,0,84957,0,2750809,0,0,0,0,0,146349,0,0,85257546
